   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _iotools.py:37(_is_string_like)
        5    0.000    0.000    4.149    0.830 _methods.py:58(_any)
        2    0.000    0.000    0.000    0.000 _npyio_impl.py:1392(_savetxt_dispatcher)
        2   85.539   42.770   93.478   46.739 _npyio_impl.py:1398(savetxt)
        2    0.000    0.000    0.000    0.000 _npyio_impl.py:1521(WriteWrap)
        1    0.000    0.000    0.463    0.463 _pickle.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _pydrive.py:30(find_module)
       13    0.000    0.000    0.000    0.000 _pydrive2.py:29(find_spec)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        2    0.000    0.000    0.000    0.000 _type_check_impl.py:168(_is_type_dispatcher)
        2    0.000    0.000    0.000    0.000 _type_check_impl.py:265(iscomplexobj)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:400(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__call__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:434(inner)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:1081(_argsort_dispatcher)
        4    0.000    0.000   28.664    7.166 fromnumeric.py:1085(argsort)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:1301(_argmin_dispatcher)
        5    0.000    0.000    0.179    0.036 fromnumeric.py:1305(argmin)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:2250(_sum_dispatcher)
        5    0.000    0.000    4.789    0.958 fromnumeric.py:2255(sum)
199999993   34.555    0.000   34.555    0.000 fromnumeric.py:3063(_prod_dispatcher)
199999993  184.810    0.000 1446.561    0.000 fromnumeric.py:3068(prod)
        9    0.000    0.000   28.843    3.205 fromnumeric.py:51(_wrapfunc)
199999998  394.317    0.000 1266.540    0.000 fromnumeric.py:69(_wrapreduction)
199999998  148.988    0.000  148.988    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        4    0.000    0.000    0.000    0.000 getlimits.py:688(__init__)
        4    0.000    0.000    0.000    0.000 getlimits.py:712(max)
        7    0.000    0.000    0.001    0.000 iostream.py:202(schedule)
       22    0.000    0.000    0.000    0.000 iostream.py:437(_is_master_process)
       22    0.000    0.000    0.001    0.000 iostream.py:456(_schedule_flush)
       22    0.000    0.000    0.001    0.000 iostream.py:526(write)
        7    0.000    0.000    0.000    0.000 iostream.py:90(_event_pipe)
        1    3.601    3.601 6487.207 6487.207 ipython-input-1937184827.py:145(run_with_profiling)
        5   21.208    4.242   32.244    6.449 ipython-input-1937184827.py:17(fitness)
        1    1.561    1.561    2.067    2.067 ipython-input-1937184827.py:24(generate_population)
199999992 1104.807    0.000 1190.726    0.000 ipython-input-1937184827.py:27(crossover)
199999992  730.310    0.000  730.310    0.000 ipython-input-1937184827.py:34(mutate)
        1    0.000    0.000   93.406   93.406 ipython-input-1937184827.py:40(save_population_to_csv)
        1    0.000    0.000    0.089    0.089 ipython-input-1937184827.py:45(load_population_from_csv)
        1    0.000    0.000    0.073    0.073 ipython-input-1937184827.py:56(save_generation_to_csv)
        1    0.000    0.000    0.000    0.000 ipython-input-1937184827.py:61(load_generation_from_csv)
        1 2730.003 2730.003 6483.605 6483.605 ipython-input-1937184827.py:74(genetic_algorithm)
        1    0.000    0.000    0.028    0.028 lazy.py:150(_lazy)
        1    0.000    0.000    0.028    0.028 lazy.py:97(_lazy)
        1    0.000    0.000    0.000    0.000 multiarray.py:161(concatenate)
199999992   24.562    0.000   24.562    0.000 multiarray.py:678(result_type)
       12    0.000    0.000    0.000    0.000 parse.py:108(_noop)
       12    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        8    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        4    0.000    0.000    0.000    0.000 parse.py:421(_checknetloc)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        8    0.000    0.000    0.000    0.000 parse.py:833(__getattr__)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:800(getrandbits)
        1    0.000    0.000    0.000    0.000 random.py:814(seed)
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shape_base.py:77(_atleast_2d_dispatcher)
        1    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
        1    0.000    0.000    0.000    0.000 six.py:194(find_spec)
        7    0.000    0.000    0.000    0.000 socket.py:632(send)
        7    0.000    0.000    0.000    0.000 threading.py:1125(_wait_for_tstate_lock)
